"game_id","game_date","away_team","home_team","away_score","home_score","winner","ck"
"567452","2019/03/16","TOR","NYY","7","17","0","0"
"566464","2019/03/16","SD","SF","3","10","0","0"
"565215","2019/03/16","TEX","CIN","2","5","1","0"
"567258","2019/03/16","LAD","CWS","2","0","0","0"
"567547","2019/03/16","COL","MIL","4","5","1","0"
"565698","2019/03/16","MIL","KC","2","6","1","0"
"564826","2019/03/16","CHC","ARI","7","1","0","0"
"564729","2019/03/16","CLE","LAA","7","2","0","0"
"566270","2019/03/16","KC","SD","5","10","0","0"
"581020","2019/03/17","SEA","YOM","6","3","0","0"
"581019","2019/03/17","OAK","NIP","5","1","0","0"
"565891","2019/03/17","NYM","WSH","5","10","0","0"
"566176","2019/03/17","BOS","PIT","1","8","1","0"
"565023","2019/03/17","TB","BOS","2","3","1","0"
"565505","2019/03/17","ATL","DET","2","3","1","0"
"567151","2019/03/17","HOU","ATL","7","3","0","0"
"567355","2019/03/17","STL","MIA","2","4","1","0"
"564925","2019/03/17","NYY","BAL","5","3","0","0"
"567054","2019/03/17","NYY","PHI","7","3","0","0"
"566860","2019/03/17","MIN","TOR","8","9","1","0"
"565216","2019/03/17","CLE","CIN","9","9","0","0"
"565119","2019/03/17","COL","CHC","7","2","0","0"
"566465","2019/03/17","KC","SF","2","7","1","0"
"566756","2019/03/17","ARI","TEX","2","7","1","0"
"565794","2019/03/17","MIL","LAD","9","8","0","0"
"566271","2019/03/17","LAA","SD","2","6","1","0"
"564827","2019/03/17","CWS","ARI","3","7","1","0"
"581021","2019/03/18","OAK","NIP","6","6","0","0"
"586080","2019/03/18","SEA","YOM","6","5","0","0"
"565506","2019/03/18","BAL","DET","14","1","0","0"
"566660","2019/03/18","PIT","TB","4","2","0","0"
"566957","2019/03/18","BOS","MIN","1","4","1","0"
"566563","2019/03/18","PHI","STL","1","4","1","0"
"565892","2019/03/18","MIA","WSH","7","1","0","0"
"566861","2019/03/18","DET","TOR","2","3","1","0"
