"game_id","game_date","player_id","career_atbats","career_avg","career_homeruns","career_obp","career_ops","career_rbi","career_slg","career_strikeouts","recent_atbats","recent_avg","recent_homeruns","recent_obp","recent_ops","recent_rbi","recent_slg","recent_strikeouts"
"717791","2023/06/12","571448","3.729","0.297","0.194","0.336","0.852","0.682","0.516","0.725","3.54","0.337","0.36","0.404","1.158","0.88","0.754","0.35"
"717791","2023/06/12","575929","3.383","0.246","0.124","0.324","0.735","0.497","0.411","0.884","3.32","0.107","0.17","0.182","0.438","0.17","0.257","1.04"
"717791","2023/06/12","666185","3.068","0.258","0.082","0.309","0.716","0.442","0.407","0.822","3.09","0.331","0.18","0.425","0.994","0.51","0.568","0.65"
"717791","2023/06/12","691023","2.691","0.21","0.098","0.222","0.546","0.417","0.324","0.882","3.42","0.303","0.19","0.373","0.863","0.55","0.489","0.6"
"717791","2023/06/12","657557","3.12","0.235","0.234","0.324","0.808","0.555","0.484","0.894","3.56","0.132","0","0.178","0.334","0.08","0.155","1.18"
"717792","2023/06/12","687263","1.849","0.158","0.038","0.196","0.457","0.239","0.262","0.377","2.74","0.253","0.24","0.355","0.818","0.28","0.463","0.63"
"717792","2023/06/12","543760","3.82","0.268","0.159","0.325","0.782","0.59","0.458","0.726","4.38","0.267","0.07","0.301","0.725","0.7","0.423","0.59"
"717792","2023/06/12","608369","3.36","0.366","0.194","0.415","1.06","0.6","0.646","0.668","4.34","0.377","0.24","0.401","1.071","1.22","0.67","0.87"
"717792","2023/06/12","663993","3.509","0.28","0.113","0.366","0.811","0.539","0.445","0.879","3.95","0.188","0.16","0.315","0.621","0.54","0.306","1.53"
"717792","2023/06/12","666969","3.47","0.243","0.218","0.314","0.788","0.743","0.474","0.986","3.63","0.269","0.09","0.354","0.746","0.46","0.392","1.21"
"717792","2023/06/12","673962","3.129","0.248","0.173","0.279","0.723","0.527","0.444","0.954","3.95","0.277","0.15","0.322","0.787","0.29","0.466","0.52"
